"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_011E","S1903_C01_011M","S1903_C02_011E","S1903_C02_011M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M",
"Geography","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months",
"0400000US36","New York","7262279","12603","59269","235","69.6","0.1","66256","242","14.7","0.1","41615","320","0.4","0.1","36913","1846","6.7","0.1","63018","932","0.0","0.1","38639","5423","6.8","0.1","36170","418","1.9","0.1","50751","883","14.8","0.1","40824","266","63.1","0.1","68221","299","2.8","0.1","28708","783","32.5","0.1","65682","381","41.0","0.1","70792","360","23.7","0.1","38929","201","4625960","13534","71913","303","43.4","0.1","67016","509","56.6","0.1","74941","329","69.0","0.2","90257","409","23.2","0.2","36532","280","7.8","0.1","50756","479","2636319","8228","36916","211","55.3","0.2","31791","206","47.0","0.2","27377","185","8.3","0.1","71514","1023","44.7","0.2","43490","463","34.7","0.2","36611","312","10.0","0.1","76034","996","36.3","(X)","(X)","(X)","38.2","(X)","(X)","(X)","31.4","(X)","(X)","(X)",
"1600000US3651000","New York city, New York","3113535","6744","53373","269","49.1","0.1","69086","525","23.8","0.1","41690","355","0.4","0.1","35958","3832","11.8","0.1","57168","800","0.0","0.1","38654","6312","12.4","0.1","33574","607","2.5","0.1","50604","1122","24.9","0.1","36549","338","39.2","0.1","77183","488","2.8","0.1","34542","1440","38.0","0.1","64169","546","38.1","0.1","57639","541","21.1","0.1","31615","361","1865277","7386","59285","441","44.4","0.2","50967","422","55.6","0.2","65486","507","60.1","0.3","80348","608","30.6","0.2","34097","431","9.3","0.1","49113","1180","1248258","5855","41717","357","55.6","0.3","35759","467","47.0","0.3","29361","543","8.6","0.2","85270","1826","44.4","0.3","50388","576","34.1","0.3","40316","648","10.3","0.2","92718","2176","39.9","(X)","(X)","(X)","43.9","(X)","(X)","(X)","32.2","(X)","(X)","(X)",
"8600000US10001","ZCTA5 10001","11639","506","86801","10346","67.9","3.6","102466","11708","8.0","2.5","26458","22974","0.2","0.3","(X)","(X)","18.1","2.6","65236","14479","0.0","0.3","-","**","2.8","1.5","(X)","(X)","2.8","1.2","47218","19684","11.8","2.0","38438","28846","60.8","3.2","115895","12301","6.0","1.3","56429","21859","45.0","3.6","116273","13238","31.2","3.4","76633","13748","17.8","2.0","34009","6740","3668","451","91418","12053","32.1","7.2","91824","69595","67.9","7.2","91322","14516","74.5","6.8","(X)","(X)","14.8","5.6","(X)","(X)","10.7","5.1","(X)","(X)","7971","524","80823","11337","47.7","4.3","(X)","(X)","39.3","4.0","(X)","(X)","8.3","2.2","(X)","(X)","52.3","4.3","(X)","(X)","38.9","4.7","(X)","(X)","13.4","2.4","(X)","(X)","24.0","(X)","(X)","(X)","33.5","(X)","(X)","(X)","19.6","(X)","(X)","(X)",
"8600000US10002","ZCTA5 10002","33348","548","33726","3127","36.2","1.8","62639","6021","7.1","1.1","27769","5163","0.3","0.2","19038","10784","39.6","1.7","23221","2212","0.0","0.1","-","**","13.9","1.9","24773","7429","2.8","0.7","46019","7448","25.2","1.8","25084","4617","26.7","1.7","83026","6334","2.1","0.5","34698","12922","35.0","2.1","60816","3597","36.2","2.1","34924","5726","26.8","1.7","16005","1327","17572","657","34755","4544","36.3","2.5","32276","7103","63.7","2.5","35930","5059","56.9","2.7","(X)","(X)","32.9","2.7","(X)","(X)","10.2","1.7","(X)","(X)","15776","665","27472","3792","53.6","3.0","(X)","(X)","46.8","2.9","(X)","(X)","6.8","1.3","(X)","(X)","46.4","3.0","(X)","(X)","38.9","2.9","(X)","(X)","7.5","1.8","(X)","(X)","32.6","(X)","(X)","(X)","36.0","(X)","(X)","(X)","26.7","(X)","(X)","(X)",
"8600000US10003","ZCTA5 10003","27487","679","98151","5628","83.1","2.0","101076","4261","2.9","1.1","65366","39382","0.1","0.1","-","**","10.3","1.4","92386","20905","0.0","0.1","-","**","1.1","0.6","21250","21014","2.5","0.7","96008","43142","6.5","1.0","60911","36810","78.7","1.9","101678","4829","4.7","0.9","50246","18074","50.8","2.2","117079","11823","27.8","1.9","100385","15483","16.6","1.5","53804","9649","7331","581","156642","18981","31.0","3.6","183021","41688","69.0","3.6","146413","19871","83.7","3.3","(X)","(X)","9.8","2.4","(X)","(X)","6.5","2.8","(X)","(X)","20156","849","86081","3552","51.7","2.7","81401","10860","40.7","2.5","61277","7139","11.0","2.0","141576","24772","48.3","2.7","92624","8156","36.0","2.7","76611","12310","12.3","1.9","175815","47888","23.8","(X)","(X)","(X)","29.3","(X)","(X)","(X)","21.7","(X)","(X)","(X)",
"8600000US10004","ZCTA5 10004","1574","201","119691","15833","73.6","10.0","124798","22289","0.0","1.9","-","**","0.0","1.9","-","**","25.9","10.0","100246","32080","0.0","1.9","-","**","0.0","1.9","-","**","0.5","0.6","(X)","(X)","4.1","3.0","(X)","(X)","69.6","10.2","131250","23184","7.8","3.7","(X)","(X)","53.9","8.5","(X)","(X)","30.2","9.0","(X)","(X)","8.1","5.8","(X)","(X)","591","137","224484","52225","48.9","14.9","174441","83820","51.1","14.9","250,000+","***","84.9","11.3","(X)","(X)","7.3","5.6","(X)","(X)","7.8","10.9","(X)","(X)","983","191","95444","15507","60.8","11.3","90278","15799","49.8","12.1","85484","29185","11.0","6.3","214808","76348","39.2","11.3","105804","30317","30.3","10.1","87188","29000","8.9","6.0","147228","69730","22.1","(X)","(X)","(X)","19.8","(X)","(X)","(X)","23.5","(X)","(X)","(X)",
"8600000US10005","ZCTA5 10005","4252","396","124194","10342","70.6","6.0","130205","26943","3.8","2.9","113239","68060","0.0","0.7","-","**","22.1","6.0","101250","36261","0.0","0.7","-","**","3.3","3.1","(X)","(X)","0.3","0.3","2,500-","***","4.7","2.8","(X)","(X)","67.7","6.1","132398","58433","10.4","4.2","64107","54309","75.4","5.1","128598","7760","12.1","3.5","164375","46676","2.1","2.1","-","**","1270","274","196011","41719","41.1","12.9","220625","74259","58.9","12.9","171518","61576","88.7","6.6","(X)","(X)","5.7","5.0","(X)","(X)","5.5","4.6","(X)","(X)","2982","399","109556","11235","55.6","6.9","103505","21258","39.1","8.3","85625","27769","16.5","6.1","119097","15267","44.4","6.9","121031","18754","27.9","6.1","101420","25055","16.4","5.9","182500","67651","25.2","(X)","(X)","(X)","25.4","(X)","(X)","(X)","24.7","(X)","(X)","(X)",
"8600000US10006","ZCTA5 10006","1745","225","123691","27459","72.8","7.6","132644","27359","4.0","4.8","-","**","0.0","1.7","-","**","19.2","6.3","103558","40572","0.0","1.7","-","**","1.6","2.5","-","**","2.4","1.8","(X)","(X)","6.4","4.2","87679","61756","68.0","8.0","133798","26580","8.9","4.4","(X)","(X)","73.9","7.4","(X)","(X)","17.2","7.0","(X)","(X)","0.0","1.7","(X)","(X)","453","123","141369","76393","47.9","17.0","122279","37583","52.1","17.0","206591","108691","79.9","14.9","176500","94307","9.9","9.6","128359","8340","10.2","10.7","-","**","1292","206","103023","34723","59.1","9.5","77974","24923","49.2","10.0","70571","30046","9.8","5.9","138203","75995","40.9","9.5","202417","83688","22.8","9.3","200417","144904","18.1","7.9","250,000+","***","21.2","(X)","(X)","(X)","15.0","(X)","(X)","(X)","21.4","(X)","(X)","(X)",
"8600000US10007","ZCTA5 10007","2781","229","250,000+","***","80.8","4.8","250,000+","***","0.6","1.0","-","**","0.0","1.1","-","**","18.3","4.8","250,000+","***","0.0","1.1","-","**","0.0","1.1","-","**","0.3","0.6","-","**","2.6","1.9","(X)","(X)","78.2","5.2","250,000+","***","0.6","0.7","41667","22320","59.4","6.0","250,000+","***","34.4","5.8","250,000+","***","5.6","2.9","87833","83781","1428","187","250,000+","***","54.7","9.0","250,000+","***","45.3","9.0","250,000+","***","92.1","4.7","(X)","(X)","7.9","4.7","(X)","(X)","0.0","2.1","(X)","(X)","1353","214","155665","36152","41.5","9.1","(X)","(X)","32.8","8.2","(X)","(X)","8.7","5.1","(X)","(X)","58.5","9.1","(X)","(X)","40.9","9.4","(X)","(X)","17.5","7.1","(X)","(X)","15.7","(X)","(X)","(X)","14.4","(X)","(X)","(X)","17.1","(X)","(X)","(X)",
